ID DEPATAMENTO,DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,CODIGO_LOCALIDAD,LOCALIDAD,ANO SERVICIO,MES SERVICIO,ENERGIA ACTIVA,ENERGIA REACTIVA,POTENCIA MAXIMA,DEMANDA MAXIMA,PROMEDIO DIARIO EN HORAS
94,GUAINIA,94343,BARRANCO MINAS,94343000,BARRANCO MINAS,2020,1,39131,1384895,15414,Miercoles,118
85,CASANARE,85430,TRINIDAD,85430001,BOCAS DEL PAUTO,2020,1,13100,732995,10765,Jueves,556
97,VAUPES,97161,CARURU,97161000,CARURA,2020,1,26507,925936,9768,Viernes,1224
99,VICHADA,99001,PUERTO CARREAO,99001002,CASUARITO,2020,1,26425,1121569,12936,Lunes,843
19,CAUCA,19809,TIMBIQUI,19809014,CHACAN,2020,1,3530,62523,3006,Miercoles,53
19,CAUCA,19809,TIMBIQUI,19809010,COMUNIDAD DE CHETE,2020,1,2093,61742,3923,Domingo,25
19,CAUCA,19809,TIMBIQUI,19809003,COTEJE,2020,1,5137,312893,3404,Sabado,546
99,VICHADA,99773,CUMARIBO,99773000,CUMARIBO,2020,1,269226,1186999,57992,Martes,2149
19,CAUCA,19418,LOPEZ MICAY,19418011,DOS QUEBRADAS,2020,1,2090,5367,4525,Sabado,147
18,CAQUETA,18753,SAN VICENTE DEL CAGUAN,18753002,GUACAMAYAS,2020,1,12554,614651,3926,Viernes,1826
94,GUAINIA,94001,INIRIDA,94001000,INARIDA,2020,1,1643134,55195184,319352,Martes,24
19,CAUCA,19418,LOPEZ MICAY,19418038,ISLA DE GALLO,2020,1,2545,7881,2694,Viernes,354
13,BOLIVAR,13001,CARTAGENA,13001007,ISLA FUERTE CARTAGENA,2020,1,16797,888723,13585,Sabado,526
13,BOLIVAR,13001,CARTAGENA,13001037,ISLA MACURA,2020,1,10188,439646,3144,Sabado,146
99,VICHADA,99524,LA PRIMAVERA,99524000,LA PRIMAVERA,2020,1,351440,18249317,70525,Jueves,24
91,AMAZONAS,91001,LETICIA,91001000,LETICIA,2020,1,3930642,1251191,776876,Lunes,24
19,CAUCA,19809,TIMBIQUI,19809026,LOS BRAZOS,2020,1,9464,73577,5177,Miercoles,65
50,META,50325,MAPIRIPAN,50325000,MAPIRIPAÅN,2020,1,133744,5633694,28864,Viernes,2337
95,GUAVIARE,95200,MIRAFLORES,95200000,MIRAFLORES,2020,1,78171,2760483,20108,Miercoles,1736
97,VAUPES,97001,MITU,97001000,MITA,2020,1,1242033,39470965,263377,Viernes,2358
44,LA GUAJIRA,44847,URIBIA,44847012,NAZARETH URIBIA,2020,1,15660,725626,21398,Miercoles,351
19,CAUCA,19418,LOPEZ MICAY,19418009,NOANAMITO LAPEZ,2020,1,4271,2127,32,Viernes,556
47,MAGDALENA,47189,CIENAGA,47189018,PALMOR CIANAGA,2020,1,95888,3633582,18848,Sabado,2336
86,PUTUMAYO,86573,PUERTO LEGUIZAMO,86573009,PIAUAO NEGRO,2020,1,3942,17712,288,Domingo,615
88,ARCHIPIELAGO DE SAN ANDRES,88564,PROVIDENCIA,88564000,PROVIDENCIA,2020,1,982117,337077,167109,Viernes,24
