Nombre Categoría Serie;Nombre Categoría Subserie;Nombre del Activo;Idioma;Medio de Conservación y/o Soporte;Fecha de Generación Información;Nombre de Responsable Activo Generación;Nombre de Responsable Activo Información;Clasificación;Objetivo legítimo de la excepción;Fundamento constitucional o legal;Fundamento Jurídico de la Excepción;Excepción total o parcial;Fecha de la Calificación;Plazo de Clasificación o Reserva
Planes;Plan de Continuidad del Negocio;Plan de Continuidad de Negocio                                                  ;Español;Digital - Excel y Word;2/9/2015;Oficina de Análisis y Control del Riesgo Responsable del Proceso;Oficina de Análisis y Control de Riesgo;Pública Clasificada;"Activo de Información que es utilizado por sólo un grupo de funcionarios para realizar sus labores y que no puede ser conocida por otros funcionarios o terceros sin autorización especial de la Entidad, y que por estar en poder o custodia de la SDH, pertenece al ámbito propio, particular y privado o semiprivado de una persona natural o jurídica por lo que su acceso podrá ser negado o exceptuado de manera motivada y por escrito, los cuales se refieren a los eventos en que el acceso pudiere causar un daño a los siguientes derechos:
a) El derecho de toda persona a la intimidad, bajo las limitaciones propias que impone la condición de servidor público
b) El derecho de toda persona a la vida, la salud o la seguridad
c)Los secretos comerciales, industriales y profesionales
d) Proyectos de inversión de empresas industriales y comerciales del Estado y Sociedades de Economía Mixta 
No obstante, entiéndase también que datos públicos clasificados,  son aquellos datos personales que no tienen naturaleza íntima, reservada, ni pública y que, por ende, su conocimiento puede interesar no sólo a su titular sino a cierto sector o grupo de personas o a la sociedad en general.";"Ley 1712

Ley estatutaria 1266 de 2008 -Hábeas Data manejo de información contenida en bases de datos personales, en especial la financiera, crediticia, comercial, de servicios y la proveniente de terceros países, – art 3 los datos personales se clasifican en públicos, semiprivados y privados. ";"Artículo  19. Información exceptuada por daño a los intereses públicos.

Ley estatutaria 1266 de 2008 -Hábeas Data:

Los datos semiprivados son aquellos datos personales que no tienen naturaleza íntima, reservada, ni pública y que, por ende, su conocimiento puede interesar no solo a su titular sino a cierto sector o grupo de personas o a la sociedad en general.  Ejemplo de esta categoría, es el dato financiero y crediticio de actividad comercial o de servicios. 

“Esta Corporación ha reconocido que el acceso a la información semiprivada el acceso a la información es un acto compatible por la Constitución, además de la necesidad de ponderar el ejercicio del derecho al hábeas data del titular de la información semiprivada.” sentencia C-1011 de 2008";No Aplica;2/9/2015;No especifica
Informes;Informes de  Riesgos Desastres Naturales ;Riesgos Desastres Naturales;Español;"Físico - Papel
Digital CD y Excel";2/9/2015;Oficina de Análisis y Control del Riesgo Responsable del Proceso;Oficina de Análisis y Control de Riesgo;Pública Clasificada;"Activo de Información que es utilizado por sólo un grupo de funcionarios para realizar sus labores y que no puede ser conocida por otros funcionarios o terceros sin autorización especial de la Entidad, y que por estar en poder o custodia de la SDH, pertenece al ámbito propio, particular y privado o semiprivado de una persona natural o jurídica por lo que su acceso podrá ser negado o exceptuado de manera motivada y por escrito, los cuales se refieren a los eventos en que el acceso pudiere causar un daño a los siguientes derechos:
a) El derecho de toda persona a la intimidad, bajo las limitaciones propias que impone la condición de servidor público
b) El derecho de toda persona a la vida, la salud o la seguridad
c)Los secretos comerciales, industriales y profesionales
d) Proyectos de inversión de empresas industriales y comerciales del Estado y Sociedades de Economía Mixta 
No obstante, entiéndase también que datos públicos clasificados,  son aquellos datos personales que no tienen naturaleza íntima, reservada, ni pública y que, por ende, su conocimiento puede interesar no sólo a su titular sino a cierto sector o grupo de personas o a la sociedad en general.";Ley 1712;Artículo  19. Información exceptuada por daño a los intereses públicos.;No Aplica;2/9/2015;No especifica
Planes; Plan de Riesgos en Seguridad de la Información ;Riesgos en Seguridad de la Información;Español;Digital - Excel;2/9/2015;Oficina de Análisis y Control del Riesgo Responsable del Proceso;Oficina de Análisis y Control de Riesgo;Pública Clasificada;"Activo de Información que es utilizado por sólo un grupo de funcionarios para realizar sus labores y que no puede ser conocida por otros funcionarios o terceros sin autorización especial de la Entidad, y que por estar en poder o custodia de la SDH, pertenece al ámbito propio, particular y privado o semiprivado de una persona natural o jurídica por lo que su acceso podrá ser negado o exceptuado de manera motivada y por escrito, los cuales se refieren a los eventos en que el acceso pudiere causar un daño a los siguientes derechos:
a) El derecho de toda persona a la intimidad, bajo las limitaciones propias que impone la condición de servidor público
b) El derecho de toda persona a la vida, la salud o la seguridad
c)Los secretos comerciales, industriales y profesionales
d) Proyectos de inversión de empresas industriales y comerciales del Estado y Sociedades de Economía Mixta 
No obstante, entiéndase también que datos públicos clasificados,  son aquellos datos personales que no tienen naturaleza íntima, reservada, ni pública y que, por ende, su conocimiento puede interesar no sólo a su titular sino a cierto sector o grupo de personas o a la sociedad en general.";Ley 1712;Artículo  19. Información exceptuada por daño a los intereses públicos.;No Aplica;2/9/2015;No especifica
Peticiones, Quejas, Reclamos Y Soluciones - PQRS;No Aplica;Peticiones, Quejas, Reclamos Y Soluciones - PQRS;Español;Físico - Papel;2/9/2015;Subdirección de Proyectos Especiales Responsable del proceso.;Proyectos Especiales;Pública Clasificada;"Activo de Información que es utilizado por sólo un grupo de funcionarios para realizar sus labores y que no puede ser conocida por otros funcionarios o terceros sin autorización especial de la Entidad, y que por estar en poder o custodia de la SDH, pertenece al ámbito propio, particular y privado o semiprivado de una persona natural o jurídica por lo que su acceso podrá ser negado o exceptuado de manera motivada y por escrito, los cuales se refieren a los eventos en que el acceso pudiere causar un daño a los siguientes derechos:
a) El derecho de toda persona a la intimidad, bajo las limitaciones propias que impone la condición de servidor público
b) El derecho de toda persona a la vida, la salud o la seguridad
c)Los secretos comerciales, industriales y profesionales
d) Proyectos de inversión de empresas industriales y comerciales del Estado y Sociedades de Economía Mixta 
No obstante, entiéndase también que datos públicos clasificados,  son aquellos datos personales que no tienen naturaleza íntima, reservada, ni pública y que, por ende, su conocimiento puede interesar no sólo a su titular sino a cierto sector o grupo de personas o a la sociedad en general.";Ley estatutaria 1266 de 2008 -Hábeas Data manejo de información contenida en bases de datos personales, en especial la financiera, crediticia, comercial, de servicios y la proveniente de terceros países, – art 3 los datos personales se clasifican en públicos, semiprivados y privados. ;"Ley estatutaria 1266 de 2008 -Hábeas Data:

Los datos semiprivados son aquellos datos personales que no tienen naturaleza íntima, reservada, ni pública y que, por ende, su conocimiento puede interesar no solo a su titular sino a cierto sector o grupo de personas o a la sociedad en general.  Ejemplo de esta categoría, es el dato financiero y crediticio de actividad comercial o de servicios. 

“Esta Corporación ha reconocido que el acceso a la información semiprivada el acceso a la información es un acto compatible por la Constitución, además de la necesidad de ponderar el ejercicio del derecho al hábeas data del titular de la información semiprivada.” sentencia C-1011 de 2008

 ";La excepción aplica sólo a los datos personales de los peticionarios;2/9/2015;No especifica
Actas;Actas Comité de Dirección;Actas Comité de Dirección;Español;Físico - Papel;2/9/2015;"Despacho del Director Distrital de Presupuesto

Responsable del proceso.";Despacho del Director Distrital de Presupuesto;Pública Clasificada;"Activo de Información que es utilizado por sólo un grupo de funcionarios para realizar sus labores y que no puede ser conocida por otros funcionarios o terceros sin autorización especial de la Entidad, y que por estar en poder o custodia de la SDH, pertenece al ámbito propio, particular y privado o semiprivado de una persona natural o jurídica por lo que su acceso podrá ser negado o exceptuado de manera motivada y por escrito, los cuales se refieren a los eventos en que el acceso pudiere causar un daño a los siguientes derechos:
a) El derecho de toda persona a la intimidad, bajo las limitaciones propias que impone la condición de servidor público
b) El derecho de toda persona a la vida, la salud o la seguridad
c)Los secretos comerciales, industriales y profesionales
d) Proyectos de inversión de empresas industriales y comerciales del Estado y Sociedades de Economía Mixta 
No obstante, entiéndase también que datos públicos clasificados,  son aquellos datos personales que no tienen naturaleza íntima, reservada, ni pública y que, por ende, su conocimiento puede interesar no sólo a su titular sino a cierto sector o grupo de personas o a la sociedad en general.";"Artículo 15 de la Constitución Política 
Ley estatutaria 1266 de 2008 -Hábeas Data manejo de información contenida en bases de datos personales, en especial la financiera, crediticia, comercial, de servicios y la proveniente de terceros países, – art 3 los datos personales se clasifican en públicos, semiprivados y privados. ";"Ley estatutaria 1266 de 2008 -Hábeas Data:

Los datos semiprivados son aquellos datos personales que no tienen naturaleza íntima, reservada, ni pública y que, por ende, su conocimiento puede interesar no solo a su titular sino a cierto sector o grupo de personas o a la sociedad en general.  Ejemplo de esta categoría, es el dato financiero y crediticio de actividad comercial o de servicios. 

“Esta Corporación ha reconocido que el acceso a la información semiprivada el acceso a la información es un acto compatible por la Constitución, además de la necesidad de ponderar el ejercicio del derecho al hábeas data del titular de la información semiprivada.” sentencia C-1011 de 2008
";Los documentos presentan información de uso exclusivo interno de la entidad y datos personales de los funcionarios, frente a los cuales se requiere previamente realizar análisis de la pertinencia en la entrega y/o publicación de esta información.;2/9/2015;No especifica
Informes;Informes a Organismos de Control;Informes a Organismos de Control;Español;Físico - Papel;2/9/2015;"Despacho del Director Distrital de Presupuesto

Responsable del proceso.";Despacho del Director Distrital de Presupuesto;Pública Clasificada;"Activo de Información que es utilizado por sólo un grupo de funcionarios para realizar sus labores y que no puede ser conocida por otros funcionarios o terceros sin autorización especial de la Entidad, y que por estar en poder o custodia de la SDH, pertenece al ámbito propio, particular y privado o semiprivado de una persona natural o jurídica por lo que su acceso podrá ser negado o exceptuado de manera motivada y por escrito, los cuales se refieren a los eventos en que el acceso pudiere causar un daño a los siguientes derechos:
a) El derecho de toda persona a la intimidad, bajo las limitaciones propias que impone la condición de servidor público
b) El derecho de toda persona a la vida, la salud o la seguridad
c)Los secretos comerciales, industriales y profesionales
d) Proyectos de inversión de empresas industriales y comerciales del Estado y Sociedades de Economía Mixta 
No obstante, entiéndase también que datos públicos clasificados,  son aquellos datos personales que no tienen naturaleza íntima, reservada, ni pública y que, por ende, su conocimiento puede interesar no sólo a su titular sino a cierto sector o grupo de personas o a la sociedad en general.";"Artículo 15 de la Constitución Política 
Ley estatutaria 1266 de 2008 -Hábeas Data manejo de información contenida en bases de datos personales, en especial la financiera, crediticia, comercial, de servicios y la proveniente de terceros países, – art 3 los datos personales se clasifican en públicos, semiprivados y privados. ";"Ley estatutaria 1266 de 2008 -Hábeas Data:

Los datos semiprivados son aquellos datos personales que no tienen naturaleza íntima, reservada, ni pública y que, por ende, su conocimiento puede interesar no solo a su titular sino a cierto sector o grupo de personas o a la sociedad en general.  Ejemplo de esta categoría, es el dato financiero y crediticio de actividad comercial o de servicios. 

“Esta Corporación ha reconocido que el acceso a la información semiprivada el acceso a la información es un acto compatible por la Constitución, además de la necesidad de ponderar el ejercicio del derecho al hábeas data del titular de la información semiprivada.” sentencia C-1011 de 2008
";Los documentos presentan información de uso exclusivo interno de la entidad y datos personales de los funcionarios, frente a los cuales se requiere previamente realizar análisis de la pertinencia en la entrega y/o publicación de esta información.;2/9/2015;No especifica
Administración de sistemas de información;No Aplica;Administración de sistemas de información;Español;Físico - Papel;2/9/2015;"Despacho del Director Distrital de Presupuesto

Responsable del proceso.";Despacho del Director Distrital de Presupuesto;Pública Clasificada;"Activo de Información que es utilizado por sólo un grupo de funcionarios para realizar sus labores y que no puede ser conocida por otros funcionarios o terceros sin autorización especial de la Entidad, y que por estar en poder o custodia de la SDH, pertenece al ámbito propio, particular y privado o semiprivado de una persona natural o jurídica por lo que su acceso podrá ser negado o exceptuado de manera motivada y por escrito, los cuales se refieren a los eventos en que el acceso pudiere causar un daño a los siguientes derechos:
a) El derecho de toda persona a la intimidad, bajo las limitaciones propias que impone la condición de servidor público
b) El derecho de toda persona a la vida, la salud o la seguridad
c)Los secretos comerciales, industriales y profesionales
d) Proyectos de inversión de empresas industriales y comerciales del Estado y Sociedades de Economía Mixta 
No obstante, entiéndase también que datos públicos clasificados,  son aquellos datos personales que no tienen naturaleza íntima, reservada, ni pública y que, por ende, su conocimiento puede interesar no sólo a su titular sino a cierto sector o grupo de personas o a la sociedad en general.";"Artículo 15 de la Constitución Política 
Ley estatutaria 1266 de 2008 -Hábeas Data manejo de información contenida en bases de datos personales, en especial la financiera, crediticia, comercial, de servicios y la proveniente de terceros países, – art 3 los datos personales se clasifican en públicos, semiprivados y privados. ";"Ley estatutaria 1266 de 2008 -Hábeas Data:

Los datos semiprivados son aquellos datos personales que no tienen naturaleza íntima, reservada, ni pública y que, por ende, su conocimiento puede interesar no solo a su titular sino a cierto sector o grupo de personas o a la sociedad en general.  Ejemplo de esta categoría, es el dato financiero y crediticio de actividad comercial o de servicios. 

“Esta Corporación ha reconocido que el acceso a la información semiprivada el acceso a la información es un acto compatible por la Constitución, además de la necesidad de ponderar el ejercicio del derecho al hábeas data del titular de la información semiprivada.” sentencia C-1011 de 2008
";Los documentos presentan información de uso exclusivo interno de la entidad y datos personales de los funcionarios, frente a los cuales se requiere previamente realizar análisis de la pertinencia en la entrega y/o publicación de esta información.;2/9/2015;No especifica
Peticiones, quejas, reclamos y soluciones - PQRS;No Aplica;Peticiones, quejas, reclamos y soluciones - PQRS;Español;Físico - Papel;2/9/2015;"Subdirección de Análisis, Ingreso y Sostenibilidad

Responsable del proceso";Subdirección de Análisis, Ingreso y Sostenibilidad;Pública Clasificada;"Activo de Información que es utilizado por sólo un grupo de funcionarios para realizar sus labores y que no puede ser conocida por otros funcionarios o terceros sin autorización especial de la Entidad, y que por estar en poder o custodia de la SDH, pertenece al ámbito propio, particular y privado o semiprivado de una persona natural o jurídica por lo que su acceso podrá ser negado o exceptuado de manera motivada y por escrito, los cuales se refieren a los eventos en que el acceso pudiere causar un daño a los siguientes derechos:
a) El derecho de toda persona a la intimidad, bajo las limitaciones propias que impone la condición de servidor público
b) El derecho de toda persona a la vida, la salud o la seguridad
c)Los secretos comerciales, industriales y profesionales
d) Proyectos de inversión de empresas industriales y comerciales del Estado y Sociedades de Economía Mixta 
No obstante, entiéndase también que datos públicos clasificados,  son aquellos datos personales que no tienen naturaleza íntima, reservada, ni pública y que, por ende, su conocimiento puede interesar no sólo a su titular sino a cierto sector o grupo de personas o a la sociedad en general.";"Artículo 15 de la Constitución Política 
Ley estatutaria 1266 de 2008 -Hábeas Data manejo de información contenida en bases de datos personales, en especial la financiera, crediticia, comercial, de servicios y la proveniente de terceros países, – art 3 los datos personales se clasifican en públicos, semiprivados y privados. ";"Ley estatutaria 1266 de 2008 -Hábeas Data:

Los datos semiprivados son aquellos datos personales que no tienen naturaleza íntima, reservada, ni pública y que, por ende, su conocimiento puede interesar no solo a su titular sino a cierto sector o grupo de personas o a la sociedad en general.  Ejemplo de esta categoría, es el dato financiero y crediticio de actividad comercial o de servicios. 

“Esta Corporación ha reconocido que el acceso a la información semiprivada el acceso a la información es un acto compatible por la Constitución, además de la necesidad de ponderar el ejercicio del derecho al hábeas data del titular de la información semiprivada.” sentencia C-1011 de 2008
";Los documentos presentan información de uso exclusivo interno de la entidad y datos personales de los funcionarios, frente a los cuales se requiere previamente realizar análisis de la pertinencia en la entrega y/o publicación de esta información.;2/9/2015;No especifica
Peticiones, Quejas, Reclamos y Soluciones - PQRS;No Aplica;Peticiones, Quejas, Reclamos y Soluciones - PQRS;Español;Físico - Papel;2/9/2015;"Subdirección de Competitividad y Gobierno

Responsable del proceso";Subdirección de Competitividad y Gobierno;Pública Clasificada;"Activo de Información que es utilizado por sólo un grupo de funcionarios para realizar sus labores y que no puede ser conocida por otros funcionarios o terceros sin autorización especial de la Entidad, y que por estar en poder o custodia de la SDH, pertenece al ámbito propio, particular y privado o semiprivado de una persona natural o jurídica por lo que su acceso podrá ser negado o exceptuado de manera motivada y por escrito, los cuales se refieren a los eventos en que el acceso pudiere causar un daño a los siguientes derechos:
a) El derecho de toda persona a la intimidad, bajo las limitaciones propias que impone la condición de servidor público
b) El derecho de toda persona a la vida, la salud o la seguridad
c)Los secretos comerciales, industriales y profesionales
d) Proyectos de inversión de empresas industriales y comerciales del Estado y Sociedades de Economía Mixta 
No obstante, entiéndase también que datos públicos clasificados,  son aquellos datos personales que no tienen naturaleza íntima, reservada, ni pública y que, por ende, su conocimiento puede interesar no sólo a su titular sino a cierto sector o grupo de personas o a la sociedad en general.";"Artículo 15 de la Constitución Política 
Ley estatutaria 1266 de 2008 -Hábeas Data manejo de información contenida en bases de datos personales, en especial la financiera, crediticia, comercial, de servicios y la proveniente de terceros países, – art 3 los datos personales se clasifican en públicos, semiprivados y privados. ";"Ley estatutaria 1266 de 2008 -Hábeas Data:

Los datos semiprivados son aquellos datos personales que no tienen naturaleza íntima, reservada, ni pública y que, por ende, su conocimiento puede interesar no solo a su titular sino a cierto sector o grupo de personas o a la sociedad en general.  Ejemplo de esta categoría, es el dato financiero y crediticio de actividad comercial o de servicios. 

“Esta Corporación ha reconocido que el acceso a la información semiprivada el acceso a la información es un acto compatible por la Constitución, además de la necesidad de ponderar el ejercicio del derecho al hábeas data del titular de la información semiprivada.” sentencia C-1011 de 2008
";Los documentos presentan información de uso exclusivo interno de la entidad y datos personales de los funcionarios, frente a los cuales se requiere previamente realizar análisis de la pertinencia en la entrega y/o publicación de esta información.;2/9/2015;No especifica
Peticiones, quejas, reclamos y soluciones - PQRS;No Aplica;Peticiones, quejas, reclamos y soluciones - PQRS;Español;Físico - Papel;2/9/2015;"Subdirección de Finanzas Distritales

Responsable del proceso";Subdirección de Finanzas Distritales;Pública Clasificada;"Activo de Información que es utilizado por sólo un grupo de funcionarios para realizar sus labores y que no puede ser conocida por otros funcionarios o terceros sin autorización especial de la Entidad, y que por estar en poder o custodia de la SDH, pertenece al ámbito propio, particular y privado o semiprivado de una persona natural o jurídica por lo que su acceso podrá ser negado o exceptuado de manera motivada y por escrito, los cuales se refieren a los eventos en que el acceso pudiere causar un daño a los siguientes derechos:
a) El derecho de toda persona a la intimidad, bajo las limitaciones propias que impone la condición de servidor público
b) El derecho de toda persona a la vida, la salud o la seguridad
c)Los secretos comerciales, industriales y profesionales
d) Proyectos de inversión de empresas industriales y comerciales del Estado y Sociedades de Economía Mixta 
No obstante, entiéndase también que datos públicos clasificados,  son aquellos datos personales que no tienen naturaleza íntima, reservada, ni pública y que, por ende, su conocimiento puede interesar no sólo a su titular sino a cierto sector o grupo de personas o a la sociedad en general.";"Artículo 15 de la Constitución Política 
Ley estatutaria 1266 de 2008 -Hábeas Data manejo de información contenida en bases de datos personales, en especial la financiera, crediticia, comercial, de servicios y la proveniente de terceros países, – art 3 los datos personales se clasifican en públicos, semiprivados y privados. ";"Ley estatutaria 1266 de 2008 -Hábeas Data:

Los datos semiprivados son aquellos datos personales que no tienen naturaleza íntima, reservada, ni pública y que, por ende, su conocimiento puede interesar no solo a su titular sino a cierto sector o grupo de personas o a la sociedad en general.  Ejemplo de esta categoría, es el dato financiero y crediticio de actividad comercial o de servicios. 

“Esta Corporación ha reconocido que el acceso a la información semiprivada el acceso a la información es un acto compatible por la Constitución, además de la necesidad de ponderar el ejercicio del derecho al hábeas data del titular de la información semiprivada.” sentencia C-1011 de 2008
";Los documentos presentan información de uso exclusivo interno de la entidad y datos personales de los funcionarios, frente a los cuales se requiere previamente realizar análisis de la pertinencia en la entrega y/o publicación de esta información.;2/9/2015;No especifica
